Rooms,Price,Distance,Bathroom,Car,Landsize,BuildingArea,Propertycount,Build_Age,Type_h,Type_t,Type_u,Method_S,Method_SA,Method_SP,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
2,1480000.0,2.5,1.0,1.0,202.0,167.28109546606595,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,1035000.0,2.5,1.0,0.0,156.0,79.0,4019.0,122.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,941000.0,2.5,1.0,0.0,181.0,167.28109546606595,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1876000.0,2.5,2.0,0.0,245.0,210.0,4019.0,112.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,1636000.0,2.5,1.0,2.0,256.0,107.0,4019.0,132.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,300000.0,2.5,1.0,1.0,0.0,81.92271186440678,4019.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,1097000.0,2.5,1.0,2.0,220.0,75.0,4019.0,122.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,750000.0,2.5,2.0,1.0,0.0,94.0,4019.0,13.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,1172500.0,2.5,1.0,1.0,195.0,167.28109546606595,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,441000.0,2.5,1.0,1.0,0.0,81.92271186440678,4019.0,52.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2,1310000.0,2.5,1.0,2.0,238.0,97.0,4019.0,132.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1200000.0,2.5,2.0,1.0,113.0,110.0,4019.0,142.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,1176500.0,2.5,1.0,1.0,138.0,105.0,4019.0,132.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,955000.0,2.5,1.0,0.0,183.0,167.28109546606595,4019.0,52.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2,890000.0,2.5,1.0,1.0,150.0,73.0,4019.0,37.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
3,900000.0,2.5,2.0,2.0,0.0,136.74614022988504,4019.0,12.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,1090000.0,2.5,2.0,2.0,4290.0,27.0,4019.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,500000.0,2.5,1.0,1.0,0.0,60.0,4019.0,52.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,1315000.0,2.5,1.0,0.0,147.0,85.0,4019.0,122.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,426000.0,2.5,1.0,1.0,0.0,81.92271186440678,4019.0,52.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
